Query,Last 28 days Clicks,Previous 28 days Clicks,Last 28 days Impressions,Previous 28 days Impressions,Last 28 days CTR,Previous 28 days CTR,Last 28 days Position,Previous 28 days Position
vape,20322,18539,517032,527544,3.93%,3.51%,5.67,6.21
vape shop,16186,14692,375258,364828,4.31%,4.03%,3.07,3.14
vape pen,8712,9675,139213,129715,6.26%,7.46%,4.2,3.3
novo,7757,9607,69366,66770,11.18%,14.39%,4.61,4.07
vapes,4079,2457,96852,85075,4.21%,2.89%,5.52,6.51
novo 2,3902,3321,45819,38856,8.52%,8.55%,4.17,4.14
smok,3732,7435,251764,236828,1.48%,3.14%,4.66,4.1
vape pens,3128,2863,30541,28878,10.24%,9.91%,2.82,3.25
vape juice,2762,2281,91951,89450,3%,2.55%,7.42,8.22
smok novo 2,2574,1377,42570,37776,6.05%,3.65%,6.32,6.84
novo 2 pods,2009,1482,9103,7613,22.07%,19.47%,2.52,3.01
suorin air plus,1999,480,19274,16568,10.37%,2.9%,4.25,8.1
best pod vape,1739,1833,6352,5956,27.38%,30.78%,2.4,1.94
smok novo,1707,3337,41315,43770,4.13%,7.62%,6.09,5
smok novo 2 pods,1356,1065,6243,5306,21.72%,20.07%,2.78,3.44
freemax twister,1125,1103,7781,7654,14.46%,14.41%,3.46,3.41
vape store,1089,1040,80798,83101,1.35%,1.25%,7.81,7.81
vaping.com,1044,1106,1291,1650,80.87%,67.03%,1,1
novo vape,917,988,13599,11953,6.74%,8.27%,4.46,4.2
best pod vape 2020,917,225,2311,902,39.68%,24.94%,1.53,4.92
vape price,881,862,12141,12854,7.26%,6.71%,5.62,5.98
salt nic vapes,834,482,3885,3413,21.47%,14.12%,2.57,4.08
best vape mod 2020,805,204,3163,1209,25.45%,16.87%,4.13,5.32
best pod system 2020,784,173,2088,813,37.55%,21.28%,1.9,4.92
vape pods,722,837,9852,9551,7.33%,8.76%,4.23,3.98
best pod system,719,617,3005,2173,23.93%,28.39%,3.27,3.03
smok vape,703,804,65145,60460,1.08%,1.33%,5.78,5.68
best pod 2020,685,134,1970,695,34.77%,19.28%,2.01,5.69
best small vape,674,632,1534,1420,43.94%,44.51%,1.39,1.43
pod vape,666,638,24697,27233,2.7%,2.34%,5.24,5.3
